{,,,,
SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,TypeShot type,yaxis
264,18,8503,Other,0
265,15,8518,Other,0
266,28,8546,Other,0
267,15,8561,Other,0
268,41,8602,Other,0
269,73,8675,Other,0
270,42,8717,Other,0
271,22,8739,Other,0
272,73,8812,Other,0
273,80,8892,Other,0
274,27,8919,Other,0
275,19,8938,Other,0
276,56,8994,Other,0
277,58,9052,Other,0
278,150,9202,Other,0
279,36,9238,Other,0
280,66,9304,Other,0
281,146,9450,Other,0
282,16,9466,Other,0
283,107,9573,Other,0
284,16,9589,Other,0
285,191,9780,Other,0
286,26,9806,Other,0
287,150,9956,Other,0
288,21,9977,Other,0
289,214,10191,Other,0
290,47,10238,Other,0
291,24,10262,Other,0
292,85,10347,Other,0
293,12,10359,Other,0
294,86,10445,Other,0
295,25,10470,Other,0
296,17,10487,Other,0
297,17,10504,Other,0
298,58,10562,Other,0
299,27,10589,Other,0
300,113,10702,Other,0
301,6,10708,Other,0
302,5,10713,Other,0
303,52,10765,Other,0
304,11,10776,Other,0
305,15,10791,Other,0
306,22,10813,Other,0
307,17,10830,Other,0
308,19,10849,Other,0
309,28,10877,Other,0
310,64,10941,Other,0
311,29,10970,Other,0
312,45,11015,Other,0
313,15,11030,Other,0
314,28,11058,Other,0
315,18,11076,Other,0
316,139,11215,Other,0
317,35,11250,Other,0
318,14,11264,Other,0
319,11,11275,Other,0
320,9,11284,Other,0
321,11,11295,Other,0
322,46,11341,Other,0
323,45,11386,Other,0
324,16,11402,Other,0
325,27,11429,Other,0
326,14,11443,Other,0
327,15,11458,Other,0
328,38,11496,Other,0
329,38,11534,Other,0
330,54,11588,Other,0
331,22,11610,Other,0
332,20,11630,Other,0
333,45,11675,Other,0
334,18,11693,Other,0
335,14,11707,Other,0
336,50,11757,Other,0
337,101,11858,Other,0
338,29,11887,Other,0
339,17,11904,Other,0
340,70,11974,Other,0
341,14,11988,Other,0
342,40,12028,Other,0
343,121,12149,Other,0
344,124,12273,Other,0
345,133,12406,Other,0
346,54,12460,Other,0
347,68,12528,Other,0
348,43,12571,Other,0
349,36,12607,Other,0
350,182,12789,Other,0
351,13,12802,Other,0
352,68,12870,Other,0
353,50,12920,Other,0
354,42,12962,Other,0
355,32,12994,Other,0
356,26,13020,Other,0
357,37,13057,Other,0
358,63,13120,Other,0
359,45,13165,Other,0
360,41,13206,Other,0
361,23,13229,Other,0
362,80,13309,Other,0
363,24,13333,Other,0
364,29,13362,Other,0
365,32,13394,Other,0
366,70,13464,Other,0
367,64,13528,Other,0
368,48,13576,Other,0
369,17,13593,Other,0
370,69,13662,Other,0
371,18,13680,Other,0
372,40,13720,Other,0
373,23,13743,Other,0
374,23,13766,Other,0
375,84,13850,Other,0
376,69,13919,Other,0
377,46,13965,Other,0
378,26,13991,Other,0
379,49,14040,Other,0
380,117,14157,Other,0
381,27,14184,Other,0
382,40,14224,Other,0
383,36,14260,Other,0
384,41,14301,Other,0
385,60,14361,Other,0
386,74,14435,Other,0
387,130,14565,E.P,0
388,16,14581,Other,0
389,15,14596,E.P,0
