{,,,,
SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,TypeShot type,yaxis
1118,12,39775,Other,0
1119,7,39782,Other,0
1120,10,39792,Other,0
1121,10,39802,Other,0
1122,14,39816,Other,0
1123,44,39860,Other,0
1124,59,39919,Other,0
1125,16,39935,Other,0
1126,45,39980,Other,0
1127,35,40015,Other,0
1128,90,40105,Other,0
1129,17,40122,Other,0
1130,41,40163,Other,0
1131,74,40237,Other,0
1132,95,40332,E.P,0
1133,8,40340,E.P,0
1134,39,40379,E.P,0
1135,34,40413,Other,0
1136,138,40551,E.P,0
1137,19,40570,Other,0
1138,28,40598,Other,0
1139,182,40780,E.P,0
1140,21,40801,Other,0
1141,10,40811,E.P,0
1142,134,40945,E.P,0
1143,31,40976,E.P,0
1144,59,41035,Other,0
1145,7,41042,Other,0
1146,20,41062,Other,0
1147,28,41090,Other,0
1148,21,41111,Other,0
1149,77,41188,Other,0
1150,68,41256,E.P,0
1151,78,41334,Other,0
1152,17,41351,Other,0
1153,11,41362,Other,0
1154,18,41380,Other,0
1155,86,41466,Other,0
1156,68,41534,Other,0
1157,37,41571,E.P,0
1158,60,41631,Other,0
1159,65,41696,Other,0
1160,62,41758,Other,0
1161,20,41778,Other,0
1162,68,41846,Other,0
1163,28,41874,Other,0
1164,10,41884,Other,0
1165,9,41893,Other,0
1166,103,41996,Other,0
1167,39,42035,Other,0
1168,60,42095,Other,0
1169,44,42139,Other,0
1170,29,42168,Other,0
1171,19,42187,Other,0
1172,27,42214,Other,0
1173,81,42295,Other,0
1174,36,42331,Other,0
1175,43,42374,Other,0
1176,20,42394,Other,0
1177,43,42437,Other,0
1178,34,42471,Other,0
1179,10,42481,Other,0
1180,29,42510,Other,0
1181,33,42543,Other,0
1182,27,42570,Other,0
1183,12,42582,Other,0
1184,24,42606,Other,0
1185,10,42616,Other,0
1186,116,42732,Other,0
1187,28,42760,Other,0
1188,27,42787,Other,0
1189,15,42802,Other,0
1190,38,42840,Other,0
1191,46,42886,Other,0
1192,80,42966,Other,0
1193,119,43085,Other,0
1194,43,43128,Other,0
1195,23,43151,Other,0
1196,56,43207,Other,0
1197,58,43265,Other,0
1198,73,43338,Other,0
1199,23,43361,Other,0
1200,40,43401,Other,0
1201,14,43415,Other,0
1202,67,43482,Other,0
1203,27,43509,Other,0
1204,19,43528,Other,0
1205,20,43548,Other,0
1206,24,43572,E.P,0
1207,19,43591,Other,0
1208,5,43596,Other,0
1209,30,43626,E.P,0
1210,80,43706,Other,0
1211,37,43743,Other,0
1212,53,43796,Other,0
1213,20,43816,Other,0
1214,32,43848,Other,0
1215,16,43864,Other,0
1216,24,43888,Other,0
1217,112,44000,Other,0
1218,42,44042,Other,0
1219,88,44130,Other,0
1220,17,44147,Other,0
1221,75,44222,Other,0
1222,11,44233,Other,0
1223,34,44267,Other,0
1224,23,44290,Other,0
1225,28,44318,Other,0
1226,39,44357,Other,0
1227,45,44402,Other,0
1228,35,44437,Other,0
1229,94,44531,Other,0
1230,39,44570,Other,0
1231,48,44618,Other,0
1232,231,44849,Other,0
1233,36,44885,Other,0
1234,23,44908,E.P,0
1235,8,44916,E.P,0
1236,42,44958,E.P,0
1237,28,44986,E.P,0
1238,26,45012,E.P,0
1239,26,45038,E.P,0
1240,24,45062,E.P,0
1241,24,45086,E.P,0
1242,22,45108,E.P,0
1243,17,45125,E.P,0
1244,22,45147,E.P,0
1245,186,45333,E.P,0
1246,29,45362,E.P,0
1247,46,45408,Other,0
1248,18,45426,Other,0
1249,26,45452,Other,0
1250,53,45505,Other,0
1251,34,45539,Other,0
1252,43,45582,Other,0
1253,35,45617,Other,0
1254,18,45635,Other,0
1255,36,45671,E.P,0
1256,78,45749,E.P,0
1257,18,45767,Other,0
1258,19,45786,Other,0
1259,34,45820,Other,0
1260,38,45858,Other,0
1261,17,45875,E.P,0
1262,15,45890,Other,0
1263,29,45919,Other,0
1264,15,45934,Other,0
1265,25,45959,Other,0
1266,16,45975,Other,0
1267,16,45991,Other,0
1268,45,46036,Other,0
1269,40,46076,Other,0
1270,27,46103,Other,0
1271,39,46142,Other,0
1272,29,46171,Other,0
1273,51,46222,Other,0
1274,29,46251,Other,0
1275,30,46281,Other,0
1276,41,46322,Other,0
1277,75,46397,Other,0
1278,150,46547,Other,0
1279,73,46620,Other,0
1280,62,46682,Other,0
1281,19,46701,Other,0
1282,13,46714,Other,0
1283,27,46741,Other,0
1284,50,46791,Other,0
1285,67,46858,Other,0
1286,43,46901,Other,0
1287,26,46927,Other,0
1288,30,46957,Other,0
1289,15,46972,Other,0
1290,15,46987,Other,0
1291,17,47004,Other,0
1292,10,47014,Other,0
1293,53,47067,Other,0
1294,11,47078,Other,0
1295,14,47092,Other,0
1296,18,47110,Other,0
1297,26,47136,Other,0
1298,54,47190,Other,0
1299,26,47216,Other,0
1300,39,47255,Other,0
1301,34,47289,Other,0
1302,107,47396,Other,0
1303,77,47473,Other,0
1304,6,47479,Other,0
1305,11,47490,Other,0
1306,26,47516,Other,0
1307,42,47558,Other,0
1308,56,47614,Other,0
1309,27,47641,Other,0
1310,46,47687,Other,0
1311,19,47706,Other,0
1312,56,47762,Other,0
1313,44,47806,Other,0
1314,15,47821,Other,0
1315,18,47839,Other,0
1316,64,47903,Other,0
1317,19,47922,Other,0
1318,81,48003,Other,0
1319,21,48024,Other,0
1320,18,48042,Other,0
1321,14,48056,Other,0
1322,10,48066,Other,0
1323,28,48094,Other,0
1324,15,48109,Other,0
1325,17,48126,Other,0
1326,26,48152,Other,0
1327,23,48175,Other,0
1328,17,48192,Other,0
1329,12,48204,Other,0
1330,11,48215,Other,0
1331,8,48223,Other,0
1332,15,48238,Other,0
1333,14,48252,Other,0
1334,28,48280,Other,0
1335,7,48287,Other,0
1336,8,48295,Other,0
1337,30,48325,Other,0
1338,16,48341,Other,0
1339,27,48368,E.P,0
1340,26,48394,Other,0
1341,15,48409,E.P,0
1342,28,48437,Other,0
1343,17,48454,Other,0
1344,14,48468,Other,0
1345,17,48485,Other,0
1346,15,48500,Other,0
1347,11,48511,Other,0
1348,14,48525,Other,0
1349,18,48543,Other,0
1350,15,48558,Other,0
1351,23,48581,Other,0
1352,44,48625,Other,0
1353,16,48641,Other,0
1354,28,48669,Other,0
1355,27,48696,E.P,0
1356,16,48712,Other,0
1357,30,48742,E.P,0
1358,43,48785,Other,0
1359,48,48833,E.P,0
1360,44,48877,Other,0
1361,59,48936,E.P,0
1362,19,48955,Other,0
1363,27,48982,Other,0
1364,170,49152,Other,0
1365,89,49241,Other,0
1366,18,49259,Other,0
1367,55,49314,Other,0
1368,20,49334,Other,0
1369,37,49371,Other,0
1370,87,49458,Other,0
1371,138,49596,E.P,0
1372,60,49656,Other,0
1373,10,49666,Other,0
1374,15,49681,Other,0
1375,7,49688,Other,0
1376,26,49714,Other,0
1377,16,49730,Other,0
1378,10,49740,Other,0
1379,7,49747,Other,0
1380,25,49772,Other,0
1381,12,49784,Other,0
1382,10,49794,Other,0
1383,18,49812,Other,0
1384,5,49817,Other,0
1385,42,49859,Other,0
1386,11,49870,Other,0
1387,52,49922,Other,0
1388,7,49929,Other,0
1389,35,49964,Other,0
1390,10,49974,Other,0
1391,22,49996,Other,0
1392,19,50015,Other,0
1393,100,50115,Other,0
1394,38,50153,Other,0
1395,47,50200,Other,0
1396,41,50241,Other,0
1397,25,50266,Other,0
1398,23,50289,E.P,0
1399,77,50366,Other,0
1400,11,50377,Other,0
1401,12,50389,Other,0
1402,23,50412,Other,0
1403,6,50418,Other,0
1404,11,50429,Other,0
1405,14,50443,Other,0
1406,50,50493,Other,0
1407,26,50519,Other,0
1408,42,50561,Other,0
1409,21,50582,Other,0
1410,47,50629,E.P,0
1411,37,50666,Other,0
1412,8,50674,Other,0
1413,43,50717,Other,0
1414,13,50730,Other,0
1415,15,50745,Other,0
1416,19,50764,Other,0
1417,13,50777,Other,0
1418,9,50786,Other,0
1419,5,50791,Other,0
1420,16,50807,E.P,0
1421,11,50818,Other,0
1422,5,50823,Other,0
1423,5,50828,Other,0
1424,48,50876,Other,0
1425,21,50897,Other,0
1426,47,50944,Other,0
1427,33,50977,E.P,0
1428,21,50998,Other,0
1429,50,51048,Other,0
1430,57,51105,Other,0
1431,10,51115,Other,0
1432,17,51132,Other,0
1433,36,51168,Other,0
1434,11,51179,Other,0
1435,27,51206,Other,0
1436,32,51238,Other,0
1437,27,51265,Other,0
1438,11,51276,Other,0
1439,16,51292,Other,0
1440,23,51315,Other,0
1441,57,51372,Other,0
1442,70,51442,Other,0
1443,41,51483,E.P,0
1444,33,51516,Other,0
1445,128,51644,E.P,0
1446,26,51670,Other,0
1447,27,51697,Other,0
1448,25,51722,Other,0
1449,28,51750,Other,0
1450,39,51789,Other,0
1451,82,51871,Other,0
1452,11,51882,Other,0
1453,20,51902,Other,0
1454,13,51915,Other,0
1455,8,51923,Other,0
1456,15,51938,Other,0
1457,48,51986,Other,0
1458,23,52009,Other,0
1459,14,52023,Other,0
1460,66,52089,Other,0
1461,13,52102,Other,0
1462,32,52134,Other,0
1463,20,52154,Other,0
1464,42,52196,Other,0
1465,20,52216,Other,0
1466,57,52273,Other,0
1467,75,52348,Other,0
1468,55,52403,Other,0
1469,33,52436,Other,0
1470,10,52446,Other,0
1471,21,52467,Other,0
1472,21,52488,Other,0
1473,12,52500,Other,0
1474,16,52516,Other,0
1475,17,52533,Other,0
1476,46,52579,Other,0
1477,7,52586,Other,0
1478,24,52610,Other,0
1479,18,52628,Other,0
1480,20,52648,Other,0
1481,24,52672,Other,0
1482,42,52714,Other,0
1483,8,52722,Other,0
1484,7,52729,Other,0
1485,58,52787,Other,0
1486,6,52793,Other,0
1487,11,52804,Other,0
1488,19,52823,Other,0
1489,27,52850,Other,0
1490,29,52879,Other,0
1491,35,52914,Other,0
1492,24,52938,Other,0
1493,11,52949,Other,0
1494,67,53016,E.P,0
1495,15,53031,Other,0
1496,13,53044,E.P,0
1497,15,53059,Other,0
1498,150,53209,E.P,0
1499,28,53237,Other,0
1500,7,53244,Other,0
1501,30,53274,Other,0
1502,20,53294,Other,0
1503,23,53317,Other,0
1504,23,53340,Other,0
1505,36,53376,Other,0
1506,20,53396,Other,0
1507,13,53409,Other,0
1508,21,53430,Other,0
1509,15,53445,Other,0
1510,11,53456,Other,0
1511,17,53473,Other,0
1512,142,53615,Other,0
1513,22,53637,Other,0
1514,106,53743,Other,0
1515,55,53798,Other,0
1516,64,53862,Other,0
1517,70,53932,Other,0
1518,15,53947,Other,0
1519,10,53957,Other,0
1520,43,54000,Other,0
1521,21,54021,Other,0
1522,12,54033,Other,0
1523,27,54060,Other,0
1524,42,54102,Other,0
1525,27,54129,Other,0
1526,11,54140,Other,0
1527,17,54157,Other,0
1528,14,54171,Other,0
1529,17,54188,Other,0
1530,9,54197,Other,0
1531,7,54204,Other,0
1532,19,54223,Other,0
1533,51,54274,Other,0
1534,12,54286,Other,0
1535,32,54318,Other,0
1536,38,54356,Other,0
1537,21,54377,Other,0
1538,22,54399,Other,0
1539,94,54493,Other,0
1540,56,54549,Other,0
1541,48,54597,Other,0
1542,69,54666,Other,0
1543,56,54722,Other,0
1544,40,54762,E.P,0
1545,36,54798,E.P,0
1546,22,54820,Other,0
1547,5,54825,Other,0
1548,17,54842,E.P,0
1549,32,54874,Other,0
1550,29,54903,Other,0
1551,21,54924,E.P,0
1552,151,55075,Other,0
1553,62,55137,Other,0
1554,43,55180,Other,0
1555,83,55263,Other,0
1556,100,55363,Other,0
1557,21,55384,Other,0
1558,54,55438,Other,0
1559,48,55486,Other,0
1560,16,55502,Other,0
1561,79,55581,Other,0
1562,60,55641,Other,0
1563,26,55667,Other,0
1564,12,55679,Other,0
1565,24,55703,E.P,0
1566,36,55739,Other,0
1567,36,55775,E.P,0
1568,8,55783,E.P,0
1569,39,55822,E.P,0
1570,94,55916,Other,0
1571,24,55940,E.P,0
1572,35,55975,E.P,0
1573,70,56045,Other,0
1574,18,56063,Other,0
1575,45,56108,Other,0
1576,35,56143,E.P,0
1577,27,56170,Other,0
1578,77,56247,E.P,0
1579,30,56277,Other,0
1580,6,56283,Other,0
1581,9,56292,Other,0
1582,12,56304,Other,0
1583,16,56320,Other,0
1584,15,56335,Other,0
1585,11,56346,Other,0
1586,15,56361,Other,0
1587,27,56388,Other,0
1588,12,56400,Other,0
1589,27,56427,Other,0
1590,52,56479,Other,0
1591,8,56487,Other,0
1592,184,56671,Other,0
1593,91,56762,Other,0
1594,25,56787,Other,0
1595,19,56806,Other,0
1596,54,56860,Other,0
1597,11,56871,Other,0
1598,26,56897,Other,0
1599,26,56923,Other,0
1600,40,56963,Other,0
1601,45,57008,Other,0
1602,25,57033,Other,0
1603,44,57077,Other,0
1604,33,57110,Other,0
1605,10,57120,Other,0
1606,44,57164,Other,0
1607,20,57184,Other,0
1608,123,57307,Other,0
1609,88,57395,Other,0
1610,19,57414,Other,0
1611,34,57448,Other,0
1612,35,57483,Other,0
1613,12,57495,Other,0
1614,33,57528,Other,0
1615,24,57552,Other,0
1616,35,57587,Other,0
1617,28,57615,Other,0
1618,23,57638,Other,0
1619,50,57688,Other,0
1620,77,57765,E.P,0
1621,19,57784,Other,0
1622,14,57798,Other,0
1623,26,57824,E.P,0
1624,25,57849,Other,0
1625,19,57868,Other,0
1626,13,57881,Other,0
1627,37,57918,Other,0
1628,34,57952,Other,0
1629,102,58054,Other,0
1630,18,58072,Other,0
1631,41,58113,Other,0
1632,72,58185,Other,0
1633,16,58201,E.P,0
1634,69,58270,Other,0
1635,16,58286,E.P,0
1636,26,58312,Other,0
1637,39,58351,E.P,0
1638,40,58391,Other,0
1639,7,58398,Other,0
1640,26,58424,Other,0
1641,15,58439,Other,0
1642,48,58487,Other,0
1643,20,58507,Other,0
1644,16,58523,Other,0
1645,16,58539,Other,0
1646,29,58568,Other,0
1647,11,58579,Other,0
1648,10,58589,Other,0
1649,20,58609,Other,0
1650,23,58632,Other,0
1651,19,58651,Other,0
1652,29,58680,Other,0
1653,19,58699,Other,0
1654,30,58729,Other,0
1655,30,58759,Other,0
1656,10,58769,Other,0
1657,23,58792,Other,0
1658,11,58803,Other,0
1659,11,58814,Other,0
1660,27,58841,Other,0
1661,11,58852,Other,0
1662,18,58870,Other,0
1663,12,58882,Other,0
1664,14,58896,Other,0
1665,11,58907,Other,0
1666,7,58914,Other,0
1667,11,58925,Other,0
1668,12,58937,Other,0
1669,47,58984,Other,0
1670,15,58999,Other,0
1671,26,59025,Other,0
1672,24,59049,Other,0
1673,30,59079,Other,0
1674,11,59090,Other,0
1675,9,59099,Other,0
1676,13,59112,Other,0
1677,10,59122,Other,0
1678,16,59138,Other,0
1679,12,59150,Other,0
1680,18,59168,Other,0
1681,16,59184,Other,0
1682,22,59206,Other,0
1683,12,59218,Other,0
1684,173,59391,Other,0
1685,18,59409,Other,0
1686,21,59430,Other,0
1687,18,59448,Other,0
1688,28,59476,Other,0
1689,126,59602,Other,0
1690,15,59617,Other,0
1691,78,59695,Other,0
1692,24,59719,Other,0
1693,38,59757,Other,0
1694,11,59768,Other,0
1695,49,59817,Other,0
1696,58,59875,Other,0
1697,23,59898,Other,0
1698,22,59920,Other,0
1699,32,59952,Other,0
1700,30,59982,Other,0
1701,109,60091,E.P,0
1702,36,60127,Other,0
1703,17,60144,Other,0
1704,29,60173,E.P,0
1705,13,60186,Other,0
1706,9,60195,Other,0
1707,6,60201,Other,0
1708,28,60229,Other,0
1709,30,60259,Other,0
1710,31,60290,Other,0
1711,6,60296,Other,0
1712,21,60317,Other,0
1713,17,60334,Other,0
1714,18,60352,Other,0
1715,62,60414,Other,0
1716,28,60442,Other,0
1717,28,60470,Other,0
1718,99,60569,Other,0
1719,27,60596,Other,0
1720,17,60613,Other,0
1721,21,60634,Other,0
1722,27,60661,Other,0
1723,40,60701,Other,0
1724,22,60723,Other,0
1725,33,60756,Other,0
1726,34,60790,Other,0
1727,20,60810,Other,0
1728,25,60835,Other,0
1729,31,60866,Other,0
1730,59,60925,Other,0
1731,34,60959,Other,0
1732,19,60978,Other,0
1733,25,61003,Other,0
1734,32,61035,Other,0
1735,24,61059,Other,0
1736,50,61109,Other,0
1737,58,61167,Other,0
1738,63,61230,Other,0
1739,50,61280,Other,0
1740,40,61320,Other,0
1741,32,61352,Other,0
1742,46,61398,Other,0
1743,21,61419,Other,0
1744,36,61455,Other,0
1745,24,61479,Other,0
1746,10,61489,Other,0
1747,46,61535,Other,0
1748,18,61553,Other,0
1749,16,61569,Other,0
1750,30,61599,Other,0
1751,11,61610,Other,0
1752,22,61632,Other,0
1753,25,61657,Other,0
1754,27,61684,Other,0
1755,29,61713,Other,0
1756,12,61725,Other,0
1757,20,61745,Other,0
1758,24,61769,Other,0
1759,18,61787,Other,0
1760,7,61794,Other,0
1761,16,61810,E.P,0
1762,11,61821,Other,0
1763,19,61840,E.P,0
1764,22,61862,Other,0
1765,7,61869,Other,0
1766,10,61879,Other,0
1767,17,61896,Other,0
1768,9,61905,Other,0
1769,12,61917,Other,0
1770,13,61930,Other,0
1771,8,61938,Other,0
1772,12,61950,Other,0
1773,26,61976,Other,0
1774,24,62000,E.P,0
1775,37,62037,Other,0
1776,11,62048,Other,0
1777,22,62070,Other,0
1778,27,62097,Other,0
1779,44,62141,Other,0
1780,23,62164,Other,0
1781,21,62185,Other,0
1782,25,62210,Other,0
1783,28,62238,Other,0
1784,23,62261,Other,0
1785,24,62285,Other,0
1786,21,62306,E.P,0
1787,21,62327,Other,0
1788,30,62357,E.P,0
1789,19,62376,Other,0
1790,12,62388,Other,0
1791,9,62397,Other,0
1792,12,62409,Other,0
1793,20,62429,Other,0
1794,30,62459,Other,0
1795,18,62477,Other,0
1796,16,62493,Other,0
1797,13,62506,Other,0
1798,16,62522,Other,0
1799,14,62536,Other,0
1800,31,62567,Other,0
1801,6,62573,Other,0
1802,8,62581,Other,0
1803,18,62599,Other,0
1804,16,62615,Other,0
1805,22,62637,Other,0
1806,122,62759,Other,0
1807,16,62775,Other,0
1808,13,62788,Other,0
1809,9,62797,Other,0
1810,10,62807,Other,0
1811,9,62816,Other,0
1812,10,62826,Other,0
1813,12,62838,Other,0
1814,15,62853,Other,0
1815,21,62874,Other,0
1816,11,62885,Other,0
1817,21,62906,Other,0
1818,33,62939,Other,0
1819,72,63011,Other,0
1820,14,63025,Other,0
1821,16,63041,Other,0
1822,39,63080,Other,0
1823,24,63104,Other,0
1824,15,63119,Other,0
1825,22,63141,Other,0
1826,22,63163,Other,0
1827,19,63182,Other,0
1828,41,63223,Other,0
1829,16,63239,Other,0
1830,57,63296,Other,0
1831,141,63437,Other,0
1832,10,63447,Other,0
1833,9,63456,Other,0
1834,12,63468,E.P,0
1835,17,63485,Other,0
1836,14,63499,Other,0
1837,78,63577,Other,0
1838,34,63611,Other,0
1839,22,63633,Other,0
1840,9,63642,Other,0
1841,23,63665,E.P,0
1842,35,63700,Other,0
1843,34,63734,Other,0
1844,22,63756,E.P,0
1845,13,63769,Other,0
1846,24,63793,Other,0
1847,34,63827,Other,0
1848,44,63871,Other,0
1849,48,63919,Other,0
1850,21,63940,Other,0
1851,22,63962,Other,0
1852,18,63980,Other,0
1853,25,64005,Other,0
1854,15,64020,E.P,0
1855,15,64035,Other,0
1856,45,64080,Other,0
1857,55,64135,Other,0
1858,37,64172,Other,0
1859,32,64204,Other,0
1860,61,64265,Other,0
1861,13,64278,Other,0
1862,62,64340,Other,0
1863,18,64358,Other,0
1864,30,64388,Other,0
1865,34,64422,Other,0
1866,52,64474,Other,0
1867,22,64496,Other,0
1868,12,64508,Other,0
1869,85,64593,Other,0
1870,37,64630,Other,0
1871,40,64670,Other,0
1872,19,64689,Other,0
1873,33,64722,Other,0
1874,21,64743,Other,0
1875,16,64759,Other,0
1876,17,64776,Other,0
1877,68,64844,Other,0
1878,11,64855,Other,0
1879,24,64879,Other,0
1880,7,64886,Other,0
1881,38,64924,Other,0
1882,11,64935,Other,0
1883,19,64954,Other,0
1884,43,64997,Other,0
1885,39,65036,Other,0
1886,27,65063,Other,0
1887,31,65094,Other,0
1888,17,65111,Other,0
1889,24,65135,Other,0
1890,7,65142,Other,0
1891,11,65153,Other,0
1892,15,65168,Other,0
1893,16,65184,Other,0
1894,10,65194,Other,0
1895,18,65212,Other,0
1896,25,65237,Other,0
1897,32,65269,Other,0
1898,21,65290,Other,0
1899,44,65334,Other,0
1900,60,65394,Other,0
1901,37,65431,Other,0
1902,46,65477,Other,0
1903,17,65494,Other,0
1904,15,65509,E.P,0
1905,12,65521,Other,0
1906,22,65543,E.P,0
1907,16,65559,Other,0
1908,5,65564,Other,0
1909,6,65570,Other,0
1910,8,65578,Other,0
1911,24,65602,E.P,0
1912,15,65617,Other,0
1913,20,65637,E.P,0
1914,16,65653,Other,0
1915,22,65675,Other,0
1916,74,65749,Other,0
1917,21,65770,Other,0
1918,25,65795,Other,0
1919,16,65811,Other,0
1920,27,65838,Other,0
1921,89,65927,Other,0
1922,25,65952,Other,0
1923,26,65978,Other,0
1924,20,65998,Other,0
1925,18,66016,Other,0
1926,23,66039,Other,0
1927,15,66054,Other,0
1928,41,66095,Other,0
1929,68,66163,Other,0
1930,128,66291,Other,0
1931,20,66311,Other,0
1932,34,66345,Other,0
1933,22,66367,Other,0
1934,11,66378,Other,0
1935,43,66421,Other,0
1936,48,66469,Other,0
1937,38,66507,Other,0
1938,21,66528,Other,0
1939,26,66554,Other,0
1940,73,66627,Other,0
1941,18,66645,Other,0
1942,21,66666,Other,0
1943,9,66675,Other,0
1944,44,66719,Other,0
1945,14,66733,Other,0
1946,18,66751,E.P,0
1947,12,66763,Other,0
1948,7,66770,Other,0
1949,17,66787,Other,0
1950,10,66797,Other,0
1951,18,66815,Other,0
1952,20,66835,Other,0
1953,31,66866,Other,0
1954,21,66887,E.P,0
1955,22,66909,Other,0
1956,18,66927,E.P,0
1957,16,66943,Other,0
1958,6,66949,Other,0
1959,12,66961,Other,0
1960,17,66978,Other,0
1961,38,67016,Other,0
1962,5,67021,Other,0
1963,8,67029,Other,0
1964,11,67040,Other,0
1965,22,67062,Other,0
1966,15,67077,Other,0
1967,40,67117,Other,0
1968,38,67155,Other,0
1969,29,67184,Other,0
1970,60,67244,Other,0
1971,17,67261,Other,0
1972,40,67301,Other,0
1973,24,67325,Other,0
1974,40,67365,Other,0
1975,117,67482,Other,0
1976,27,67509,Other,0
1977,12,67521,Other,0
1978,25,67546,E.P,0
1979,19,67565,Other,0
1980,40,67605,Other,0
1981,23,67628,Other,0
1982,12,67640,Other,0
1983,36,67676,Other,0
1984,31,67707,Other,0
1985,50,67757,Other,0
1986,20,67777,Other,0
1987,12,67789,Other,0
1988,19,67808,Other,0
1989,29,67837,Other,0
1990,16,67853,E.P,0
1991,11,67864,Other,0
1992,10,67874,E.P,0
1993,10,67884,Other,0
1994,17,67901,E.P,0
1995,16,67917,Other,0
1996,19,67936,E.P,0
1997,19,67955,Other,0
1998,86,68041,E.P,0
1999,14,68055,Other,0
2000,78,68133,E.P,0
2001,39,68172,Other,0
2002,16,68188,Other,0
2003,33,68221,Other,0
2004,20,68241,E.P,0
2005,64,68305,Other,0
2006,93,68398,E.P,0
2007,29,68427,E.P,0
2008,14,68441,E.P,0
2009,53,68494,Other,0
2010,16,68510,E.P,0
2011,24,68534,Other,0
2012,17,68551,E.P,0
2013,88,68639,E.P,0
2014,47,68686,Other,0
2015,28,68714,E.P,0
2016,55,68769,E.P,0
2017,40,68809,E.P,0
2018,21,68830,Other,0
2019,21,68851,E.P,0
2020,78,68929,E.P,0
2021,93,69022,Other,0
2022,31,69053,Other,0
2023,28,69081,Other,0
2024,22,69103,Other,0
2025,55,69158,Other,0
2026,107,69265,Other,0
2027,26,69291,Other,0
2028,27,69318,Other,0
2029,25,69343,Other,0
2030,13,69356,Other,0
2031,33,69389,Other,0
2032,42,69431,Other,0
2033,19,69450,Other,0
2034,35,69485,Other,0
2035,10,69495,Other,0
2036,16,69511,Other,0
2037,15,69526,Other,0
2038,9,69535,Other,0
2039,45,69580,Other,0
2040,10,69590,Other,0
2041,68,69658,Other,0
2042,88,69746,E.P,0
2043,126,69872,E.P,0
2044,55,69927,E.P,0
2045,34,69961,E.P,0
2046,14,69975,E.P,0
2047,20,69995,Other,0
2048,22,70017,E.P,0
2049,13,70030,Other,0
2050,54,70084,E.P,0
2051,56,70140,Other,0
2052,99,70239,Other,0
2053,23,70262,Other,0
2054,16,70278,Other,0
2055,14,70292,Other,0
2056,21,70313,Other,0
2057,78,70391,Other,0
2058,32,70423,E.P,0
2059,19,70442,Other,0
2060,34,70476,E.P,0
2061,30,70506,Other,0
2062,28,70534,E.P,0
2063,27,70561,Other,0
2064,29,70590,E.P,0
2065,17,70607,E.P,0
2066,32,70639,E.P,0
2067,29,70668,Other,0
2068,21,70689,E.P,0
2069,37,70726,E.P,0
2070,73,70799,E.P,0
2071,37,70836,Other,0
2072,13,70849,Other,0
2073,30,70879,Other,0
2074,60,70939,Other,0
2075,37,70976,Other,0
2076,146,71122,Other,0
2077,35,71157,Other,0
2078,23,71180,E.P,0
2079,30,71210,Other,0
2080,13,71223,E.P,0
2081,23,71246,Other,0
2082,24,71270,E.P,0
2083,16,71286,Other,0
2084,18,71304,Other,0
2085,30,71334,Other,0
2086,16,71350,Other,0
2087,28,71378,Other,0
2088,37,71415,Other,0
2089,42,71457,E.P,0
2090,30,71487,E.P,0
2091,100,71587,E.P,0
2092,58,71645,Other,0
2093,30,71675,E.P,0
2094,59,71734,Other,0
2095,34,71768,E.P,0
2096,69,71837,Other,0
2097,21,71858,E.P,0
2098,26,71884,Other,0
2099,94,71978,Other,0
2100,32,72010,E.P,0
2101,88,72098,Other,0
2102,45,72143,Other,0
2103,14,72157,Other,0
2104,11,72168,Other,0
2105,10,72178,Other,0
2106,16,72194,Other,0
2107,17,72211,Other,0
2108,22,72233,Other,0
2109,22,72255,Other,0
2110,37,72292,Other,0
2111,22,72314,Other,0
2112,19,72333,Other,0
2113,11,72344,Other,0
2114,22,72366,Other,0
2115,26,72392,Other,0
2116,52,72444,Other,0
2117,14,72458,Other,0
2118,10,72468,Other,0
2119,86,72554,Other,0
2120,22,72576,Other,0
2121,20,72596,E.P,0
2122,20,72616,Other,0
2123,22,72638,Other,0
2124,34,72672,Other,0
2125,19,72691,Other,0
2126,22,72713,Other,0
2127,37,72750,Other,0
2128,48,72798,Other,0
2129,46,72844,Other,0
2130,18,72862,Other,0
2131,17,72879,Other,0
2132,24,72903,Other,0
2133,16,72919,Other,0
2134,13,72932,Other,0
2135,32,72964,Other,0
2136,28,72992,Other,0
2137,26,73018,Other,0
2138,36,73054,Other,0
2139,161,73215,Other,0
2140,44,73259,Other,0
2141,85,73344,Other,0
2142,54,73398,Other,0
2143,31,73429,Other,0
2144,90,73519,Other,0
2145,8,73527,Other,0
2146,9,73536,E.P,0
2147,19,73555,Other,0
2148,42,73597,Other,0
2149,19,73616,E.P,0
2150,29,73645,Other,0
2151,18,73663,Other,0
2152,35,73698,Other,0
2153,16,73714,Other,0
2154,40,73754,Other,0
2155,27,73781,Other,0
2156,17,73798,Other,0
2157,38,73836,Other,0
2158,32,73868,Other,0
2159,22,73890,Other,0
2160,16,73906,Other,0
2161,32,73938,Other,0
2162,48,73986,Other,0
2163,30,74016,Other,0
2164,43,74059,Other,0
2165,27,74086,Other,0
2166,87,74173,Other,0
2167,44,74217,Other,0
2168,20,74237,Other,0
2169,25,74262,Other,0
2170,49,74311,Other,0
2171,27,74338,Other,0
2172,52,74390,Other,0
2173,22,74412,Other,0
2174,23,74435,Other,0
2175,10,74445,Other,0
2176,12,74457,Other,0
2177,27,74484,Other,0
2178,19,74503,Other,0
2179,40,74543,Other,0
