start,end,length,shot
1:45:18,1:46:00,0:00:42,160
1:46:00,1:46:40,0:00:40,161
1:46:40,1:47:10,0:00:30,162
1:47:10,1:47:50,0:00:40,163
1:47:50,1:48:04,0:00:14,164
1:48:04,1:48:39,0:00:35,165
1:48:39,1:49:43,0:01:04,166
1:49:43,1:49:49,0:00:06,167
1:49:49,1:51:01,0:01:12,168
1:51:01,1:51:17,0:00:16,169
1:51:17,1:53:44,0:02:27,170
1:53:44,1:54:36,0:00:52,171
1:54:36,1:56:35,0:01:59,172
1:56:35,2:00:27,0:03:52,173
