SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,Yaxis
1484,6,22834,0
1485,4,22838,0
1486,6,22844,0
1487,6,22850,0
1488,4,22854,0
1489,6,22860,0
1490,4,22864,0
1491,6,22870,0
1492,8,22878,0
1493,5,22883,0
1494,5,22888,0
1495,5,22893,0
1496,5,22898,0
1497,3,22901,0
1498,7,22908,0
1499,4,22912,0
1500,4,22916,0
1501,8,22924,0
1502,3,22927,0
1503,5,22932,0
1504,4,22936,0
1505,4,22940,0
1506,6,22946,0
1507,3,22949,0
1508,8,22957,0
1509,8,22965,0
1510,6,22971,0
1511,29,23000,0
1512,6,23006,0
1513,2,23008,0
1514,3,23011,0
1515,5,23016,0
1516,5,23021,0
1517,4,23025,0
1518,5,23030,0
1519,7,23037,0
1520,4,23041,0
1521,4,23045,0
1522,5,23050,0
1523,3,23053,0
1524,5,23058,0
1525,5,23063,0
1526,4,23067,0
1527,5,23072,0
1528,4,23076,0
1529,4,23080,0
1530,3,23083,0
1531,10,23093,0
1532,15,23108,0
1533,11,23119,0
1534,7,23126,0
1535,7,23133,0
1536,13,23146,0
1537,6,23152,0
1538,4,23156,0
1539,6,23162,0
1540,7,23169,0
1541,8,23177,0
1542,5,23182,0
1543,5,23187,0
1544,7,23194,0
1545,8,23202,0
1546,8,23210,0
1547,9,23219,0
1548,10,23229,0
1549,21,23250,0
1550,41,23291,0
1551,23,23314,0
1552,47,23361,0
1553,7,23368,0
1554,12,23380,0
1555,5,23385,0
1556,28,23413,0
1557,37,23450,0
1558,11,23461,0
1559,19,23480,0
1560,10,23490,0
1561,16,23506,0
1562,10,23516,0
1563,23,23539,0
1564,5,23544,0
1565,4,23548,0
1566,4,23552,0
1567,5,23557,0
1568,11,23568,0
1569,7,23575,0
1570,26,23601,0
1571,9,23610,0
1572,16,23626,0
1573,10,23636,0
1574,8,23644,0
1575,9,23653,0
1576,6,23659,0
1577,8,23667,0
1578,6,23673,0
1579,9,23682,0
1580,7,23689,0
1581,17,23706,0
1582,8,23714,0
1583,13,23727,0
1584,13,23740,0
1585,25,23765,0
1586,17,23782,0
1587,13,23795,0
1588,7,23802,0
1589,5,23807,0
1590,24,23831,0
1591,10,23841,0
1592,13,23854,0
1593,38,23892,0
1594,20,23912,0
1595,7,23919,0
1596,4,23923,0
1597,7,23930,0
1598,18,23948,0
1599,38,23986,0
1600,15,24001,0
1601,24,24025,0
1602,43,24068,0
1603,16,24084,0
1604,31,24115,0
1605,13,24128,0
1606,20,24148,0
1607,17,24165,0
1608,14,24179,0
1609,10,24189,0
1610,17,24206,0
1611,20,24226,0
1612,23,24249,0
1613,32,24281,0
1614,25,24306,0
1615,24,24330,0
1616,11,24341,0
1617,27,24368,0
1618,13,24381,0
1619,8,24389,0
1620,13,24402,0
1621,32,24434,0
1622,10,24444,0
1623,9,24453,0
1624,11,24464,0
1625,8,24472,0
1626,8,24480,0
1627,27,24507,0
1628,13,24520,0
1629,49,24569,0
1630,15,24584,0
1631,19,24603,0
1632,19,24622,0
1633,22,24644,0
1634,18,24662,0
1635,29,24691,0
1636,19,24710,0
1637,11,24721,0
1638,197,24918,0
1639,11,24929,0
1640,8,24937,0
1641,23,24960,0
1642,11,24971,0
1643,48,25019,0
1644,5,25024,0
1645,5,25029,0
1646,5,25034,0
1647,11,25045,0
1648,6,25051,0
1649,8,25059,0
1650,7,25066,0
1651,14,25080,0
1652,11,25091,0
1653,6,25097,0
1654,7,25104,0
1655,8,25112,0
1656,9,25121,0
1657,11,25132,0
1658,20,25152,0
1659,13,25165,0
1660,12,25177,0
1661,12,25189,0
1662,23,25212,0
1663,16,25228,0
1664,179,25407,0
1665,17,25424,0
1666,6,25430,0
1667,7,25437,0
1668,7,25444,0
1669,8,25452,0
1670,27,25479,0
1671,42,25521,0
1672,9,25530,0
1673,36,25566,0
1674,18,25584,0
1675,35,25619,0
1676,31,25650,0
1677,15,25665,0
1678,16,25681,0
1679,7,25688,0
1680,9,25697,0
1681,17,25714,0
1682,11,25725,0
1683,24,25749,0
1684,24,25773,0
1685,13,25786,0
1686,34,25820,0
1687,17,25837,0
1688,33,25870,0
1689,10,25880,0
1690,52,25932,0
1691,14,25946,0
1692,26,25972,0
1693,14,25986,0
1694,11,25997,0
1695,8,26005,0
1696,13,26018,0
1697,11,26029,0
1698,5,26034,0
1699,8,26042,0
1700,18,26060,0
1701,27,26087,0
1702,6,26093,0
1703,61,26154,0
1704,22,26176,0
1705,9,26185,0
1706,19,26204,0
1707,16,26220,0
1708,16,26236,0
1709,19,26255,0
1710,5,26260,0
1711,5,26265,0
1712,5,26270,0
1713,5,26275,0
1714,6,26281,0
1715,9,26290,0
1716,6,26296,0
1717,9,26305,0
1718,6,26311,0
1719,23,26334,0
1720,17,26351,0
1721,9,26360,0
1722,10,26370,0
1723,5,26375,0
1724,7,26382,0
1725,8,26390,0
1726,5,26395,0
1727,5,26400,0
1728,7,26407,0
1729,6,26413,0
1730,7,26420,0
1731,4,26424,0
1732,5,26429,0
1733,5,26434,0
1734,8,26442,0
1735,5,26447,0
1736,4,26451,0
1737,6,26457,0
1738,6,26463,0
1739,6,26469,0
1740,6,26475,0
1741,9,26484,0
1742,13,26497,0
1743,5,26502,0
1744,10,26512,0
1745,12,26524,0
1746,5,26529,0
1747,5,26534,0
1748,7,26541,0
1749,8,26549,0
1750,11,26560,0
1751,8,26568,0
1752,12,26580,0
1753,7,26587,0
1754,10,26597,0
1755,11,26608,0
1756,6,26614,0
1757,7,26621,0
1758,6,26627,0
1759,6,26633,0
1760,6,26639,0
1761,5,26644,0
1762,5,26649,0
1763,4,26653,0
1764,5,26658,0
1765,4,26662,0
1766,7,26669,0
1767,7,26676,0
1768,6,26682,0
1769,5,26687,0
1770,5,26692,0
1771,3,26695,0
1772,7,26702,0
1773,5,26707,0
1774,5,26712,0
1775,6,26718,0
1776,5,26723,0
1777,4,26727,0
1778,6,26733,0
1779,4,26737,0
1780,13,26750,0
1781,18,26768,0
1782,6,26774,0
1783,7,26781,0
1784,10,26791,0
1785,13,26804,0
1786,5,26809,0
1787,32,26841,0
1788,8,26849,0
1789,10,26859,0
1790,7,26866,0
1791,9,26875,0
1792,9,26884,0
1793,11,26895,0
1794,22,26917,0
1795,7,26924,0
1796,6,26930,0
1797,6,26936,0
1798,14,26950,0
1799,10,26960,0
1800,16,26976,0
1801,5,26981,0
1802,6,26987,0
1803,14,27001,0
1804,4,27005,0
1805,4,27009,0
1806,4,27013,0
1807,5,27018,0
1808,4,27022,0
1809,5,27027,0
1810,9,27036,0
1811,5,27041,0
1812,10,27051,0
1813,5,27056,0
1814,6,27062,0
1815,12,27074,0
1816,13,27087,0
1817,36,27123,0
1818,9,27132,0
1819,34,27166,0
1820,15,27181,0
1821,76,27257,0
1822,19,27276,0
1823,23,27299,0
1824,46,27345,0
1825,13,27358,0
1826,9,27367,0
1827,18,27385,0
1828,27,27412,0
1829,15,27427,0
1830,8,27435,0
1831,8,27443,0
1832,10,27453,0
1833,9,27462,0
1834,4,27466,0
1835,8,27474,0
1836,6,27480,0
1837,19,27499,0
1838,6,27505,0
1839,14,27519,0
1840,17,27536,0
1841,10,27546,0
1842,14,27560,0
1843,7,27567,0
1844,22,27589,0
1845,5,27594,0
1846,8,27602,0
1847,15,27617,0
1848,7,27624,0
1849,5,27629,0
1850,8,27637,0
1851,7,27644,0
1852,5,27649,0
1853,7,27656,0
1854,7,27663,0
1855,9,27672,0
1856,9,27681,0
1857,6,27687,0
1858,18,27705,0
1859,8,27713,0
1860,14,27727,0
1861,15,27742,0
1862,16,27758,0
1863,10,27768,0
1864,21,27789,0
1865,29,27818,0
1866,31,27849,0
1867,7,27856,0
1868,15,27871,0
1869,28,27899,0
1870,15,27914,0
1871,14,27928,0
1872,10,27938,0
1873,12,27950,0
1874,18,27968,0
1875,24,27992,0
1876,19,28011,0
1877,7,28018,0
1878,9,28027,0
1879,10,28037,0
1880,16,28053,0
1881,16,28069,0
1882,21,28090,0
1883,37,28127,0
1884,8,28135,0
1885,38,28173,0
1886,10,28183,0
1887,12,28195,0
1888,18,28213,0
1889,23,28236,0
1890,7,28243,0
1891,3,28246,0
1892,5,28251,0
1893,9,28260,0
1894,7,28267,0
1895,10,28277,0
1896,5,28282,0
1897,7,28289,0
1898,6,28295,0
1899,6,28301,0
1900,8,28309,0
1901,8,28317,0
1902,4,28321,0
1903,15,28336,0
1904,14,28350,0
1905,6,28356,0
1906,10,28366,0
1907,5,28371,0
1908,6,28377,0
1909,4,28381,0
1910,6,28387,0
1911,5,28392,0
1912,6,28398,0
1913,9,28407,0
1914,7,28414,0
1915,7,28421,0
1916,5,28426,0
1917,5,28431,0
1918,5,28436,0
1919,10,28446,0
1920,10,28456,0
1921,14,28470,0
1922,23,28493,0
1923,7,28500,0
1924,24,28524,0
1925,6,28530,0
1926,18,28548,0
1927,67,28615,0
1928,6,28621,0
1929,12,28633,0
1930,32,28665,0
1931,17,28682,0
1932,19,28701,0
1933,12,28713,0
1934,7,28720,0
1935,7,28727,0
1936,5,28732,0
1937,6,28738,0
1938,9,28747,0
1939,25,28772,0
1940,16,28788,0
1941,17,28805,0
1942,10,28815,0
1943,12,28827,0
1944,7,28834,0
1945,11,28845,0
1946,8,28853,0
1947,37,28890,0
1948,16,28906,0
1949,13,28919,0
1950,11,28930,0
1951,20,28950,0
1952,13,28963,0
1953,7,28970,0
1954,11,28981,0
1955,24,29005,0
1956,18,29023,0
1957,13,29036,0
1958,10,29046,0
1959,26,29072,0
1960,17,29089,0
1961,28,29117,0
1962,112,29229,0
1963,32,29261,0
1964,15,29276,0
1965,18,29294,0
1966,26,29320,0
1967,15,29335,0
1968,76,29411,0
1969,33,29444,0
1970,12,29456,0
1971,14,29470,0
1972,30,29500,0
1973,37,29537,0
1974,16,29553,0
1975,38,29591,0
1976,23,29614,0
1977,27,29641,0
1978,23,29664,0
1979,13,29677,0
1980,32,29709,0
1981,102,29811,0
1982,55,29866,0
1983,35,29901,0
1984,21,29922,0
1985,15,29937,0
1986,18,29955,0
1987,40,29995,0
1988,38,30033,0
1989,37,30070,0
1990,16,30086,0
1991,19,30105,0
1992,20,30125,0
1993,41,30166,0
1994,25,30191,0
1995,25,30216,0
1996,17,30233,0
1997,29,30262,0
1998,21,30283,0
1999,34,30317,0
2000,7,30324,0
2001,7,30331,0
2002,13,30344,0
2003,15,30359,0
2004,13,30372,0
2005,26,30398,0
2006,36,30434,0
2007,16,30450,0
2008,6,30456,0
2009,17,30473,0
2010,13,30486,0
2011,10,30496,0
2012,28,30524,0
2013,15,30539,0
2014,18,30557,0
2015,20,30577,0
2016,14,30591,0
2017,11,30602,0
2018,9,30611,0
2019,12,30623,0
2020,14,30637,0
2021,21,30658,0
2022,11,30669,0
2023,23,30692,0
2024,13,30705,0
2025,34,30739,0
2026,23,30762,0
2027,44,30806,0
2028,17,30823,0
2029,23,30846,0
2030,9,30855,0
2031,9,30864,0
2032,12,30876,0
2033,11,30887,0
2034,15,30902,0
2035,10,30912,0
2036,10,30922,0
2037,175,31097,0
2038,31,31128,0
2039,20,31148,0
2040,36,31184,0
2041,31,31215,0
2042,12,31227,0
2043,221,31448,0
2044,9,31457,0
2045,10,31467,0
2046,24,31491,0
2047,23,31514,0
2048,24,31538,0
2049,30,31568,0
2050,109,31677,0
2051,34,31711,0
2052,21,31732,0
2053,23,31755,0
2054,18,31773,0
2055,11,31784,0
2056,13,31797,0
2057,10,31807,0
2058,6,31813,0
2059,19,31832,0
2060,22,31854,0
2061,15,31869,0
2062,35,31904,0
2063,25,31929,0
2064,56,31985,0
2065,12,31997,0
2066,20,32017,0
2067,22,32039,0
2068,28,32067,0
2069,29,32096,0
2070,17,32113,0
2071,45,32158,0
2072,29,32187,0
2073,22,32209,0
2074,12,32221,0
2075,27,32248,0
2076,70,32318,0
2077,26,32344,0
2078,14,32358,0
2079,6,32364,0
2080,8,32372,0
2081,14,32386,0
2082,18,32404,0
2083,20,32424,0
2084,21,32445,0
2085,12,32457,0
2086,42,32499,0
2087,45,32544,0
2088,23,32567,0
2089,8,32575,0
2090,12,32587,0
2091,7,32594,0
2092,8,32602,0
2093,27,32629,0
2094,16,32645,0
2095,8,32653,0
2096,6,32659,0
2097,5,32664,0
2098,6,32670,0
2099,6,32676,0
2100,8,32684,0
2101,11,32695,0
2102,15,32710,0
2103,10,32720,0
2104,7,32727,0
2105,8,32735,0
2106,7,32742,0
2107,12,32754,0
2108,16,32770,0
2109,8,32778,0
2110,8,32786,0
2111,6,32792,0
2112,6,32798,0
2113,8,32806,0
2114,6,32812,0
2115,9,32821,0
2116,6,32827,0
2117,7,32834,0
2118,8,32842,0
2119,9,32851,0
2120,7,32858,0
2121,6,32864,0
2122,6,32870,0
2123,7,32877,0
2124,6,32883,0
2125,9,32892,0
2126,7,32899,0
2127,8,32907,0
2128,7,32914,0
2129,5,32919,0
2130,9,32928,0
2131,7,32935,0
2132,10,32945,0
2133,8,32953,0
2134,20,32973,0
2135,32,33005,0
2136,37,33042,0
2137,12,33054,0
2138,18,33072,0
2139,15,33087,0
2140,23,33110,0
2141,10,33120,0
2142,146,33266,0
2143,13,33279,0
2144,10,33289,0
2145,9,33298,0
2146,7,33305,0
2147,12,33317,0
2148,7,33324,0
2149,9,33333,0
2150,6,33339,0
2151,8,33347,0
2152,5,33352,0
2153,7,33359,0
2154,6,33365,0
2155,6,33371,0
2156,7,33378,0
2157,5,33383,0
2158,5,33388,0
2159,5,33393,0
2160,5,33398,0
2161,6,33404,0
2162,5,33409,0
2163,7,33416,0
2164,7,33423,0
2165,6,33429,0
2166,6,33435,0
2167,18,33453,0
2168,53,33506,0
2169,11,33517,0
2170,8,33525,0
2171,13,33538,0
2172,8,33546,0
2173,6,33552,0
2174,10,33562,0
2175,5,33567,0
2176,6,33573,0
2177,10,33583,0
2178,7,33590,0
2179,10,33600,0
2180,7,33607,0
2181,10,33617,0
2182,11,33628,0
2183,24,33652,0
2184,5,33657,0
2185,6,33663,0
2186,6,33669,0
2187,7,33676,0
2188,7,33683,0
2189,10,33693,0
2190,5,33698,0
2191,4,33702,0
2192,3,33705,0
2193,9,33714,0
2194,5,33719,0
2195,10,33729,0
2196,9,33738,0
2197,24,33762,0
2198,31,33793,0
2199,13,33806,0
2200,14,33820,0
2201,21,33841,0
2202,20,33861,0
2203,33,33894,0
2204,8,33902,0
2205,36,33938,0
2206,39,33977,0
2207,14,33991,0
2208,40,34031,0
2209,26,34057,0
2210,9,34066,0
2211,8,34074,0
2212,9,34083,0
2213,16,34099,0
2214,9,34108,0
2215,9,34117,0
2216,14,34131,0
2217,7,34138,0
2218,12,34150,0
2219,7,34157,0
2220,20,34177,0
2221,28,34205,0
2222,61,34266,0
2223,27,34293,0
2224,89,34382,0
2225,94,34476,0
2226,28,34504,0
2227,25,34529,0
2228,23,34552,0
2229,17,34569,0
2230,182,34751,0
2231,86,34837,0
2232,18,34855,0
2233,17,34872,0
2234,16,34888,0
2235,21,34909,0
2236,12,34921,0
2237,25,34946,0
2238,11,34957,0
2239,16,34973,0
2240,16,34989,0
2241,44,35033,0
2242,25,35058,0
2243,11,35069,0
2244,11,35080,0
2245,13,35093,0
2246,20,35113,0
2247,16,35129,0
2248,7,35136,0
2249,7,35143,0
2250,11,35154,0
2251,36,35190,0
2252,8,35198,0
2253,10,35208,0
2254,11,35219,0
2255,15,35234,0
2256,27,35261,0
2257,15,35276,0
2258,22,35298,0
2259,22,35320,0
2260,20,35340,0
2261,18,35358,0
2262,12,35370,0
2263,13,35383,0
2264,10,35393,0
2265,21,35414,0
2266,8,35422,0
2267,5,35427,0
2268,4,35431,0
2269,5,35436,0
2270,3,35439,0
2271,7,35446,0
2272,17,35463,0
2273,6,35469,0
2274,4,35473,0
2275,5,35478,0
2276,5,35483,0
2277,6,35489,0
2278,15,35504,0
2279,20,35524,0
2280,8,35532,0
2281,18,35550,0
2282,12,35562,0
2283,9,35571,0
2284,15,35586,0
2285,18,35604,0
2286,22,35626,0
2287,9,35635,0
2288,5,35640,0
2289,17,35657,0
2290,8,35665,0
2291,16,35681,0
2292,14,35695,0
2293,41,35736,0
2294,16,35752,0
2295,19,35771,0
2296,13,35784,0
2297,12,35796,0
2298,25,35821,0
2299,17,35838,0
2300,31,35869,0
2301,15,35884,0
2302,8,35892,0
2303,14,35906,0
2304,7,35913,0
2305,7,35920,0
2306,5,35925,0
2307,9,35934,0
2308,33,35967,0
2309,12,35979,0
2310,12,35991,0
2311,10,36001,0
2312,21,36022,0
2313,8,36030,0
2314,38,36068,0
2315,49,36117,0
2316,14,36131,0
2317,8,36139,0
2318,5,36144,0
2319,8,36152,0
2320,6,36158,0
2321,24,36182,0
2322,12,36194,0
2323,13,36207,0
2324,17,36224,0
2325,31,36255,0
2326,6,36261,0
2327,5,36266,0
2328,5,36271,0
2329,13,36284,0
2330,38,36322,0
2331,7,36329,0
2332,37,36366,0
2333,11,36377,0
2334,20,36397,0
2335,30,36427,0
2336,20,36447,0
2337,28,36475,0
2338,12,36487,0
2339,14,36501,0
2340,17,36518,0
2341,10,36528,0
2342,9,36537,0
2343,10,36547,0
2344,20,36567,0
2345,6,36573,0
2346,5,36578,0
2347,5,36583,0
2348,5,36588,0
2349,5,36593,0
2350,5,36598,0
2351,60,36658,0
2352,8,36666,0
2353,22,36688,0
2354,58,36746,0
2355,51,36797,0
2356,18,36815,0
2357,64,36879,0
2358,7,36886,0
2359,6,36892,0
2360,10,36902,0
2361,26,36928,0
2362,19,36947,0
2363,32,36979,0
2364,59,37038,0
2365,13,37051,0
2366,22,37073,0
2367,7,37080,0
2368,50,37130,0
2369,27,37157,0
2370,8,37165,0
2371,14,37179,0
2372,11,37190,0
2373,7,37197,0
2374,11,37208,0
2375,5,37213,0
2376,20,37233,0
2377,2,37235,0
2378,8,37243,0
2379,15,37258,0
2380,17,37275,0
2381,14,37289,0
2382,8,37297,0
2383,6,37303,0
2384,5,37308,0
2385,5,37313,0
2386,9,37322,0
2387,5,37327,0
2388,6,37333,0
2389,5,37338,0
2390,4,37342,0
2391,7,37349,0
2392,10,37359,0
2393,10,37369,0
2394,16,37385,0
2395,8,37393,0
2396,16,37409,0
2397,6,37415,0
2398,9,37424,0
2399,2,37426,0
2400,4,37430,0
2401,3,37433,0
2402,6,37439,0
2403,5,37444,0
2404,5,37449,0
2405,6,37455,0
2406,6,37461,0
2407,3,37464,0
2408,4,37468,0
2409,17,37485,0
2410,70,37555,0
2411,20,37575,0
2412,5,37580,0
2413,5,37585,0
2414,3,37588,0
2415,89,37677,0
2416,15,37692,0
2417,15,37707,0
2418,7,37714,0
2419,9,37723,0
2420,8,37731,0
2421,29,37760,0
2422,47,37807,0
2423,10,37817,0
2424,10,37827,0
2425,3,37830,0
2426,5,37835,0
2427,4,37839,0
2428,5,37844,0
2429,6,37850,0
2430,8,37858,0
2431,7,37865,0
2432,6,37871,0
2433,8,37879,0
2434,8,37887,0
2435,9,37896,0
2436,14,37910,0
2437,16,37926,0
2438,6,37932,0
2439,8,37940,0
2440,5,37945,0
2441,5,37950,0
2442,6,37956,0
2443,7,37963,0
2444,9,37972,0
2445,8,37980,0
2446,8,37988,0
2447,9,37997,0
2448,8,38005,0
2449,5,38010,0
2450,4,38014,0
2451,5,38019,0
2452,13,38032,0
2453,12,38044,0
2454,5,38049,0
2455,8,38057,0
2456,8,38065,0
2457,4,38069,0
2458,8,38077,0
2459,3,38080,0
2460,5,38085,0
2461,7,38092,0
2462,3,38095,0
2463,5,38100,0
2464,17,38117,0
2465,7,38124,0
2466,7,38131,0
2467,8,38139,0
2468,7,38146,0
2469,10,38156,0
2470,7,38163,0
2471,7,38170,0
2472,5,38175,0
2473,4,38179,0
2474,4,38183,0
2475,5,38188,0
2476,7,38195,0
2477,6,38201,0
2478,6,38207,0
2479,7,38214,0
2480,5,38219,0
2481,6,38225,0
2482,6,38231,0
2483,5,38236,0
2484,5,38241,0
2485,5,38246,0
2486,5,38251,0
2487,5,38256,0
2488,7,38263,0
2489,5,38268,0
2490,5,38273,0
2491,7,38280,0
2492,13,38293,0
2493,5,38298,0
2494,4,38302,0
2495,6,38308,0
2496,33,38341,0
2497,43,38384,0
2498,15,38399,0
2499,9,38408,0
2500,5,38413,0
2501,5,38418,0
2502,6,38424,0
2503,8,38432,0
2504,7,38439,0
2505,6,38445,0
2506,13,38458,0
2507,11,38469,0
2508,20,38489,0
2509,9,38498,0
2510,7,38505,0
2511,45,38550,0
2512,19,38569,0
2513,14,38583,0
2514,41,38624,0
2515,11,38635,0
2516,5,38640,0
2517,12,38652,0
2518,32,38684,0
2519,37,38721,0
2520,11,38732,0
2521,11,38743,0
2522,9,38752,0
2523,8,38760,0
2524,15,38775,0
2525,7,38782,0
2526,8,38790,0
2527,11,38801,0
2528,7,38808,0
2529,10,38818,0
2530,5,38823,0
2531,10,38833,0
2532,6,38839,0
2533,10,38849,0
2534,39,38888,0
2535,16,38904,0
2536,25,38929,0
2537,26,38955,0
2538,42,38997,0
2539,35,39032,0
2540,34,39066,0
2541,10,39076,0
2542,27,39103,0
2543,12,39115,0
2544,11,39126,0
2545,7,39133,0
2546,9,39142,0
2547,7,39149,0
2548,7,39156,0
2549,5,39161,0
2550,3,39164,0
2551,4,39168,0
2552,8,39176,0
2553,6,39182,0
2554,5,39187,0
2555,5,39192,0
2556,6,39198,0
2557,6,39204,0
2558,5,39209,0
2559,6,39215,0
2560,10,39225,0
2561,7,39232,0
2562,6,39238,0
2563,6,39244,0
2564,5,39249,0
2565,8,39257,0
2566,20,39277,0
2567,7,39284,0
2568,5,39289,0
2569,6,39295,0
2570,39,39334,0
2571,20,39354,0
2572,20,39374,0
2573,32,39406,0
2574,67,39473,0
2575,28,39501,0
2576,7,39508,0
2577,115,39623,0
2578,61,39684,0
2579,12,39696,0
2580,24,39720,0
2581,54,39774,0
2582,5,39779,0
2583,16,39795,0
2584,7,39802,0
2585,12,39814,0
2586,35,39849,0
2587,12,39861,0
2588,16,39877,0
2589,14,39891,0
2590,24,39915,0
2591,10,39925,0
2592,12,39937,0
2593,19,39956,0
2594,19,39975,0
2595,5,39980,0
2596,7,39987,0
2597,5,39992,0
2598,6,39998,0
2599,4,40002,0
2600,5,40007,0
2601,3,40010,0
2602,7,40017,0
2603,8,40025,0
2604,8,40033,0
2605,7,40040,0
2606,8,40048,0
2607,5,40053,0
2608,10,40063,0
2609,5,40068,0
2610,6,40074,0
2611,12,40086,0
2612,22,40108,0
2613,15,40123,0
2614,16,40139,0
2615,9,40148,0
2616,57,40205,0
2617,19,40224,0
2618,27,40251,0
2619,10,40261,0
2620,6,40267,0
2621,6,40273,0
2622,8,40281,0
2623,27,40308,0
2624,29,40337,0
2625,67,40404,0
2626,58,40462,0
2627,71,40533,0
2628,43,40576,0
2629,33,40609,0
2630,42,40651,0
2631,25,40676,0
2632,7,40683,0
2633,9,40692,0
2634,8,40700,0
2635,6,40706,0
2636,6,40712,0
2637,23,40735,0
2638,22,40757,0
2639,45,40802,0
2640,31,40833,0
2641,6,40839,0
2642,26,40865,0
2643,10,40875,0
2644,10,40885,0
2645,157,41042,0
2646,15,41057,0
2647,12,41069,0
2648,26,41095,0
2649,15,41110,0
2650,8,41118,0
2651,32,41150,0
2652,7,41157,0
2653,5,41162,0
2654,16,41178,0
2655,15,41193,0
2656,32,41225,0
2657,20,41245,0
2658,10,41255,0
2659,13,41268,0
2660,102,41370,0
2661,8,41378,0
2662,6,41384,0
2663,7,41391,0
2664,8,41399,0
2665,11,41410,0
2666,7,41417,0
2667,9,41426,0
2668,13,41439,0
2669,10,41449,0
2670,6,41455,0
2671,5,41460,0
2672,21,41481,0
2673,31,41512,0
2674,20,41532,0
2675,14,41546,0
2676,6,41552,0
2677,14,41566,0
2678,10,41576,0
2679,10,41586,0
2680,55,41641,0
2681,195,41836,0
2682,15,41851,0
2683,28,41879,0
2684,15,41894,0
2685,46,41940,0
2686,11,41951,0
2687,21,41972,0
2688,9,41981,0
2689,9,41990,0
2690,17,42007,0
2691,7,42014,0
2692,30,42044,0
2693,12,42056,0
2694,13,42069,0
2695,20,42089,0
2696,16,42105,0
2697,15,42120,0
2698,24,42144,0
2699,11,42155,0
2700,9,42164,0
2701,17,42181,0
2702,32,42213,0
2703,18,42231,0
2704,17,42248,0
2705,10,42258,0
2706,16,42274,0
2707,20,42294,0
2708,11,42305,0
2709,12,42317,0
2710,12,42329,0
2711,6,42335,0
2712,24,42359,0
2713,49,42408,0
2714,14,42422,0
2715,13,42435,0
2716,7,42442,0
2717,16,42458,0
2718,25,42483,0
2719,14,42497,0
2720,26,42523,0
2721,11,42534,0
2722,28,42562,0
2723,41,42603,0
2724,15,42618,0
2725,22,42640,0
2726,60,42700,0
2727,13,42713,0
2728,11,42724,0
2729,17,42741,0
2730,18,42759,0
2731,12,42771,0
2732,14,42785,0
2733,12,42797,0
2734,11,42808,0
2735,18,42826,0
2736,10,42836,0
2737,7,42843,0
2738,28,42871,0
2739,10,42881,0
2740,28,42909,0
2741,12,42921,0
2742,5,42926,0
2743,10,42936,0
2744,15,42951,0
2745,18,42969,0
2746,8,42977,0
2747,15,42992,0
2748,5,42997,0
2749,5,43002,0
2750,3,43005,0
2751,4,43009,0
2752,4,43013,0
2753,11,43024,0
2754,6,43030,0
2755,5,43035,0
2756,5,43040,0
2757,22,43062,0
2758,3,43065,0
2759,7,43072,0
2760,6,43078,0
2761,5,43083,0
2762,6,43089,0
2763,5,43094,0
2764,4,43098,0
2765,5,43103,0
2766,4,43107,0
2767,5,43112,0
2768,5,43117,0
2769,2,43119,0
2770,5,43124,0
2771,5,43129,0
2772,6,43135,0
2773,10,43145,0
2774,8,43153,0
2775,6,43159,0
2776,6,43165,0
2777,6,43171,0
2778,5,43176,0
2779,5,43181,0
2780,5,43186,0
2781,9,43195,0
2782,9,43204,0
2783,11,43215,0
2784,11,43226,0
2785,14,43240,0
2786,12,43252,0
2787,9,43261,0
2788,14,43275,0
2789,20,43295,0
2790,12,43307,0
2791,40,43347,0
2792,18,43365,0
2793,7,43372,0
2794,5,43377,0
2795,7,43384,0
2796,4,43388,0
2797,8,43396,0
2798,8,43404,0
2799,5,43409,0
2800,5,43414,0
2801,8,43422,0
2802,10,43432,0
2803,7,43439,0
2804,8,43447,0
2805,14,43461,0
2806,3,43464,0
2807,6,43470,0
2808,10,43480,0
2809,10,43490,0
2810,10,43500,0
2811,7,43507,0
2812,21,43528,0
2813,21,43549,0
2814,10,43559,0
2815,45,43604,0
2816,27,43631,0
2817,23,43654,0
2818,18,43672,0
2819,18,43690,0
2820,18,43708,0
2821,22,43730,0
2822,52,43782,0
2823,40,43822,0
2824,40,43862,0
2825,22,43884,0
2826,11,43895,0
2827,16,43911,0
2828,18,43929,0
2829,12,43941,0
2830,24,43965,0
2831,26,43991,0
2832,13,44004,0
2833,36,44040,0
2834,21,44061,0
2835,39,44100,0
2836,28,44128,0
2837,16,44144,0
2838,14,44158,0
2839,15,44173,0
2840,34,44207,0
2841,23,44230,0
2842,41,44271,0
2843,24,44295,0
2844,37,44332,0
2845,108,44440,0
2846,83,44523,0
2847,16,44539,0
2848,42,44581,0
2849,23,44604,0
2850,29,44633,0
2851,21,44654,0
2852,23,44677,0
2853,22,44699,0
2854,24,44723,0
2855,16,44739,0
2856,11,44750,0
2857,10,44760,0
2858,18,44778,0
2859,19,44797,0
2860,37,44834,0
2861,31,44865,0
2862,18,44883,0
2863,20,44903,0
2864,28,44931,0
2865,18,44949,0
2866,25,44974,0
2867,28,45002,0
2868,25,45027,0
2869,21,45048,0
2870,38,45086,0
2871,32,45118,0
2872,23,45141,0
2873,24,45165,0
2874,26,45191,0
2875,70,45261,0
2876,38,45299,0
2877,49,45348,0
2878,17,45365,0
